region_name,population
Nordrhein-Westfalen,17947221
Bayern,13124737
Baden-Württemberg,11100394
Niedersachsen,7993608
Hessen,6288080
Rheinland-Pfalz,4093903
Sachsen,4071971
Berlin,3669491
Schleswig-Holstein,2903773
Brandenburg,2521893
Sachsen-Anhalt,2194782
Thüringen,2133378
Hamburg,1847253
Mecklenburg-Western Pomerania,1608138
Saarland,986887
Bremen,681202
Lower Sachsen,7962775
total-germany,91129486
