region_name,population
Ciudad Autónoma de Buenos Aires,3075646
Buenos Aires,17541141
Catamarca,415438
Chaco,1204541
Chubut,618994
Córdoba,3760450
Corrientes,1120801
Entre Ríos,1385961
Formosa,605193
Jujuy,770881
La Pampa,358428
La Rioja,393531
Mendoza,1990338
Misiones,1261294
Neuquén,664057
Río Negro,74761
Salta,1424397
San Juan,781217
San Luis,508328
Santa Cruz,365698
Santa Fe,3536418
Santiago del Estero,978313
Tierra del Fuego,173432
Tucumán,1694656
total-argentina,45376763
