region_name,population
Wien,1911728
Niederösterreich,1684623
Oberösterreich,1490392
Steiermark,1246576
Tirol,757852
Kärnten,561390
Salzburg,558479
Vorarlberg,397094
Burgenland,294466
total-austria,8902600
