region_name,population
Auvergne-Rhône-Alpes,8032377
Bourgogne-Franche-Comté,2783039
Bretagne,3340379
Centre-Val de Loire,2559073
Corse,344679
Grand Est,5511747
Guadeloupe,377000
Guyane,290000
Hauts-de-France,5962662
Île-de-France,12278210
La Réunion,860000
Martinique,358000
Mayotte,270372
Normandie,3303500
Nouvelle-Aquitaine,5999982
Occitanie,5924858
Pays de la Loire,3801797
Provence-Alpes-Côte d'Azur,5055651
total-france,67053326
