region_name,population
England,56286961
Scotland,5463300
Wales,3152879
North Ireland,1893667
Cayman Islands,68076
Channel Islands,170499
Montserrat,5215
Bermuda,62506
Isle of Man,83314
Gibraltar,33701
total-unitedkingdom,66796807
