region_name,population
total-canada,37971020
Newfoundland and Labrador,520437
Prince Edward Island,158717
Nova Scotia,978274
New Brunswick,780890
Quebec,8552362
Ontario,14745040
Manitoba,1379121
Saskatchewan,1181987
Alberta,4428247
British Columbia,5120184
