region_name,population
Antofagasta,607534
Araucanía,957224
Arica y Parinacota,226068
Atacama,286168
Aysén,103158
Biobío,1556805
Coquimbo,757586
Los Lagos,828708
Los Ríos,384837
Magallanes,166533
Maule,1044950
Metropolitana,7112808
Ñuble,480609
O’Higgins,914555
Tarapacá,330558
total-chile,17574003
Valparaíso,1815902
